Abbreviation,City Name,ID
BOM,St. Louis,1610610034
BOS,Boston,1610612738
CHS,Chicago,1610610025
WAS,Washington,1610610036
HUS,Toronto,1610610035
PIT,Pittsburgh,1610610031
NYK,New York,1610612752
DEF,Detroit,1610610028
CLR,Cleveland,1610610026
PRO,Providence,1610610032
PHW,Philadelphia,1610612744
BAL,Baltimore,1610610024
JET,Indianapolis,1610610029
MNL,Minneapolis,1610612747
FTW,Ft. Wayne Zollner,1610612765
ROC,Rochester,1610612758
DN,Denver,1610610027
INO,Indianapolis,1610610030
WAT,Waterloo,1610610037
AND,Anderson,1610610023
SHE,Sheboygan,1610610033
TCB,Tri-Cities,1610612737
SYR,Syracuse,1610612755
MIH,Milwaukee,1610612737
STL,St. Louis,1610612737
CIN,Cincinnati,1610612758
DET,Detroit,1610612765
LAL,Los Angeles,1610612747
CHP,Chicago,1610612764
CHZ,Chicago,1610612764
SFW,San Francisco,1610612744
PHL,Philadelphia,1610612755
BLT,Baltimore,1610612764
CHI,Chicago,1610612741
SEA,Seattle,1610612760
SDR,San Diego,1610612745
PHX,Phoenix,1610612756
ATL,Atlanta,1610612737
MIL,Milwaukee,1610612749
BUF,Buffalo,1610612746
POR,Portland,1610612757
CLE,Cleveland,1610612739
HOU,Houston,1610612745
GOS,Golden State,1610612744
KCK,Kansas City,1610612758
CAP,Capital,1610612764
NOJ,New Orleans,1610612762
SAN,San Antonio,1610612759
DEN,Denver,1610612743
NYN,New York,1610612751
IND,Indiana,1610612754
NJN,New Jersey,1610612751
SDC,San Diego,1610612746
UTH,Utah,1610612762
DAL,Dallas,1610612742
LAC,Los Angeles,1610612746
SAC,Sacramento,1610612758
ORL,Orlando,1610612753
MIN,Minnesota,1610612750
CHH,Charlotte,1610612766
MIA,Miami,1610612748
TOR,Toronto,1610612761
VAN,Vancouver,1610612763
GSW,Golden State,1610612744
SAS,San Antonio,1610612759
PHI,Philadelphia,1610612755
UTA,Utah,1610612762
MEM,Memphis,1610612763
NOH,New Orleans,1610612740
CHA,Charlotte,1610612766
NOK,New Orleans/Oklahoma City,1610612740
PHO,Phoenix,1610612756
OKC,Oklahoma City,1610612760
BKN,Brooklyn,1610612751
NOP,New Orleans,1610612740
