City,Latitude,Longitude,Conference
Atlanta,33.7489924,-84.3902644,1
Boston,42.3554334,-71.060511,1
Brooklyn,40.6526006,-73.9497211,1
Charlotte,35.2272086,-80.8430827,1
Chicago,41.8755616,-87.6244212,1
Cleveland,41.4996574,-81.6936772,1
Dallas,32.7762719,-96.7968559,0
Denver,39.7392364,-104.984862,0
Detroit,42.3315509,-83.0466403,1
San Francisco,37.7790262,-122.419906,0
Houston,29.7589382,-95.3676974,0
Indiana,40.3270127,-86.1746933,1
Los Angeles,34.0536909,-118.242766,0
Memphis,35.1460249,-90.0517638,0
Miami,25.7741728,-80.19362,1
Milwaukee,43.0349931,-87.922497,1
Minnesota,45.9896587,-94.6113288,0
Oklahoma,34.9550817,-97.2684063,0
Orlando,28.5421109,-81.3790304,1
Philadelphia,39.9527237,-75.1635262,1
Phoenix,33.4484367,-112.074141,0
Portland,45.5202471,-122.674194,0
Sacramento,38.5810606,-121.493895,0
San Antonio,29.4246002,-98.4951405,0
Toronto,43.6534817,-79.3839347,1
Utah,39.4225192,-111.714358,0
Washington,38.8950368,-77.0365427,1
New Orleans,29.9759983,-90.0782127,0
New York,40.7127281,-74.0060152,1
