game_id,team_abbreviation,team_wins_losses,pts_qtr1,pts_qtr2,pts_qtr3,pts_qtr4,total_points,home_team
24600003,PIT,-,5.0,15.0,17.0,14.0,51,0
24600002,PRO,-,,12.0,18.0,15.0,59,0
24600004,NYK,-,,,,,47,0
24600005,DEF,-,9.0,10.0,10.0,4.0,33,0
24600006,CLR,-,,,,,71,0
24600007,WAS,-,,,,,71,0
24600008,CHS,-,15.0,12.0,19.0,11.0,57,0
24600009,DEF,-,,,,,49,0
24600011,PRO,-,,,,,73,0
24600012,BOM,-,17.0,23.0,14.0,9.0,63,0
24600010,PHW,-,,,,,81,0
24600013,HUS,-,12.0,27.0,22.0,12.0,73,0
24600014,WAS,-,,,,,69,0
24600015,PRO,-,,,,,76,0
24600016,CHS,-,14.0,13.0,14.0,21.0,64,0
24600017,BOS,-,,,,,46,0
24600018,WAS,-,,,,,68,0
24600020,CHS,-,,,,,78,0
24600019,PIT,-,30.0,24.0,17.0,13.0,84,0
24600022,CHS,-,,,,,71,0
24600021,PRO,-,16.0,23.0,22.0,9.0,70,0
24600025,HUS,-,14.0,27.0,22.0,22.0,85,0
24600027,CHS,-,,,,,65,0
24600029,DEF,-,13.0,25.0,13.0,19.0,70,0
24600030,BOS,-,19.0,9.0,8.0,17.0,53,0
24600028,NYK,-,28.0,15.0,16.0,5.0,64,0
24600031,CLR,-,,,,,76,0
24600032,NYK,-,,,,,61,0
24600033,PIT,-,,,,,54,0
24600034,HUS,-,18.0,24.0,17.0,13.0,72,0
24600035,BOM,-,,,,,66,0
24600038,BOM,-,,,,,51,0
24600037,DEF,-,,,,,53,0
24600036,NYK,-,,,,,72,0
24600041,BOS,-,,,,,53,0
24600039,CHS,-,,,,,65,0
24600040,PRO,-,17.0,16.0,17.0,8.0,58,0
24600046,DEF,-,,,,,54,0
24600045,HUS,-,,,,,50,0
24600048,DEF,-,23.0,11.0,12.0,22.0,68,0
24600047,PIT,-,12.0,18.0,15.0,15.0,60,0
24600049,BOS,-,,,,,59,0
24600050,NYK,-,18.0,12.0,9.0,23.0,62,0
24600053,CLR,-,,,,,46,0
24600052,BOS,-,,,,,54,0
24600051,HUS,-,13.0,16.0,16.0,23.0,68,0
24600054,CHS,-,,,,,67,0
24600055,PIT,-,,,,,62,0
24600056,NYK,-,,,,,67,0
24600057,CHS,-,13.0,23.0,12.0,24.0,72,0
24600059,PIT,-,,,,,55,0
24600060,PHW,-,,,,,55,0
24600061,CLR,-,15.0,33.0,23.0,16.0,87,0
24600063,NYK,-,,,,,64,0
24600065,WAS,-,,,,,49,0
24600062,HUS,-,12.0,15.0,18.0,20.0,65,0
24600066,BOS,-,12.0,20.0,15.0,9.0,56,0
24600067,DEF,-,,,,,47,0
24600068,BOS,-,,,,,46,0
24600069,PHW,-,,,,,76,0
24600070,WAS,-,,,,,80,0
24600071,NYK,-,,,,,70,0
24600072,CHS,-,,,,,57,0
24600075,PIT,-,15.0,15.0,11.0,14.0,55,0
24600074,BOS,-,,,,,61,0
24600073,HUS,-,15.0,12.0,15.0,23.0,65,0
24600076,NYK,-,,,,,51,0
24600077,CHS,-,23.0,21.0,18.0,24.0,86,0
24600080,HUS,-,17.0,22.0,13.0,16.0,68,0
24600081,PHW,-,11.0,19.0,15.0,12.0,57,0
24600078,NYK,-,,,,,90,0
24600079,DEF,-,13.0,13.0,22.0,16.0,64,0
24600083,BOS,-,,,,,44,0
24600082,PHW,-,,,,,66,0
24600084,DEF,-,,,,,66,0
24600085,PHW,-,23.0,20.0,15.0,27.0,85,0
24600088,PRO,-,,,,,68,0
24600089,WAS,-,22.0,16.0,26.0,17.0,81,0
24600091,DEF,-,,,,,66,0
24600092,PHW,-,7.0,13.0,13.0,16.0,49,0
24600090,BOM,-,,,,,68,0
24600093,PIT,-,11.0,10.0,21.0,20.0,62,0
24600096,CLR,-,10.0,17.0,13.0,12.0,52,0
24600094,DEF,-,,,,,66,0
24600095,PHW,-,,,,,65,0
24600099,HUS,-,16.0,9.0,12.0,13.0,50,0
24600098,CLR,-,,,,,70,0
24600100,PIT,-,,,,,55,0
24600102,PHW,-,,,,,57,0
24600103,CLR,-,10.0,14.0,19.0,13.0,56,0
24600104,BOM,-,13.0,11.0,12.0,11.0,47,0
24600107,CLR,-,,,,,44,0
24600106,BOM,-,,,,,76,0
24600105,CHS,-,,,,,77,0
24600108,HUS,-,15.0,11.0,23.0,25.0,74,0
24600109,PRO,-,,,,,63,0
24600110,WAS,-,19.0,20.0,16.0,13.0,68,0
24600111,DEF,-,17.0,32.0,20.0,23.0,92,0
24600112,PIT,-,,,,,78,0
24600113,BOS,-,13.0,10.0,11.0,19.0,53,0
24600114,BOS,-,9.0,11.0,16.0,18.0,54,0
24600115,PRO,-,,,,,66,0
24600116,BOM,-,14.0,12.0,7.0,22.0,55,0
24600117,PIT,-,,,,,46,0
24600118,HUS,-,25.0,24.0,13.0,18.0,80,0
24600119,PHW,-,,,,,63,0
24600121,WAS,-,,,,,70,0
24600120,BOS,-,,,,,68,0
24600124,DEF,-,,,,,48,0
24600123,BOM,-,19.0,19.0,16.0,21.0,75,0
24600125,PHW,-,13.0,16.0,22.0,11.0,62,0
24600128,CLR,-,20.0,16.0,13.0,10.0,59,0
24600127,HUS,-,,,,,87,0
24600131,CLR,-,11.0,9.0,27.0,14.0,61,0
24600130,WAS,-,,,,,57,0
24600129,BOM,-,23.0,26.0,25.0,29.0,103,0
24600132,PRO,-,,,,,72,0
24600133,BOM,-,,,,,66,0
24600134,BOS,-,13.0,16.0,19.0,10.0,58,0
24600137,NYK,-,,,,,62,0
24600136,CLR,-,11.0,17.0,17.0,19.0,64,0
24600135,PHW,-,,,,,74,0
24600138,NYK,-,18.0,16.0,9.0,16.0,59,0
24600141,WAS,-,19.0,11.0,14.0,19.0,63,0
24600140,CLR,-,,,,,64,0
24600139,HUS,-,18.0,12.0,15.0,16.0,76,0
24600143,PRO,-,16.0,12.0,20.0,21.0,69,0
24600144,PHW,-,14.0,10.0,19.0,20.0,63,0
24600145,NYK,-,,,,,63,0
24600142,CHS,-,,,,,83,0
24600148,HUS,-,,,,,55,0
24600147,CLR,-,,,,,68,0
24600146,BOM,-,,,,,84,0
24600149,NYK,-,,,,,62,0
24600150,BOS,-,,,,,73,0
24600151,HUS,-,18.0,16.0,14.0,18.0,66,0
24600152,PHW,-,,,,,56,0
24600153,CHS,-,17.0,21.0,15.0,22.0,75,0
24600154,PIT,-,17.0,7.0,15.0,20.0,59,0
24600155,PIT,-,12.0,11.0,19.0,8.0,50,0
24600157,PHW,-,21.0,25.0,26.0,32.0,104,0
24600156,CLR,-,,,,,74,0
24600158,WAS,-,,,,,65,0
24600159,DEF,-,,,,,68,0
24600160,PRO,-,11.0,13.0,15.0,14.0,53,0
24600161,PHW,-,,,,,78,0
24600163,WAS,-,,,,,38,0
24600164,HUS,-,22.0,16.0,7.0,19.0,64,0
24600165,WAS,-,20.0,28.0,17.0,22.0,87,0
24600166,NYK,-,,,,,45,0
24600168,PRO,-,14.0,12.0,15.0,12.0,53,0
24600167,CLR,-,19.0,19.0,16.0,25.0,79,0
24600170,BOS,-,,,,,54,0
24600169,PIT,-,16.0,14.0,18.0,13.0,62,0
24600171,BOM,-,22.0,14.0,11.0,10.0,71,0
24600172,BOS,-,,,,,43,0
24600175,CLR,-,,,,,61,0
24600174,PHW,-,9.0,21.0,15.0,10.0,55,0
24600173,CHS,-,,,,,64,0
24600178,BOS,-,,,,,48,0
24600177,CHS,-,27.0,21.0,19.0,30.0,97,0
24600179,HUS,-,23.0,21.0,26.0,23.0,93,0
24600182,BOS,-,,,,,52,0
24600180,WAS,-,24.0,26.0,18.0,16.0,84,0
24600181,PHW,-,,,,,61,0
24600184,CHS,-,14.0,16.0,12.0,21.0,63,0
24600183,DEF,-,19.0,21.0,10.0,16.0,66,0
24600185,CLR,-,33.0,18.0,12.0,25.0,88,0
24600186,PRO,-,12.0,20.0,16.0,15.0,63,0
24600187,WAS,-,,,,,80,0
24600188,CLR,-,21.0,26.0,12.0,21.0,80,0
24600191,BOS,-,10.0,11.0,18.0,18.0,57,0
24600189,PRO,-,,,,,83,0
24600190,NYK,-,,,,,64,0
24600194,BOS,-,,,,,66,0
24600192,BOM,-,17.0,19.0,14.0,20.0,70,0
24600193,NYK,-,,,,,58,0
24600195,WAS,-,19.0,12.0,12.0,31.0,74,0
24600197,NYK,-,,,,,63,0
24600198,CLR,-,11.0,13.0,9.0,15.0,48,0
24600196,PIT,-,,,,,73,0
24600201,NYK,-,,,,,63,0
24600200,HUS,-,13.0,23.0,26.0,13.0,75,0
24600199,WAS,-,25.0,34.0,27.0,21.0,107,0
24600202,BOM,-,7.0,12.0,23.0,21.0,63,0
24600203,BOS,-,,,,,55,0
24600204,PRO,-,,,,,68,0
24600207,BOM,-,,,,,71,0
24600206,DEF,-,,,,,46,0
24600205,HUS,-,18.0,16.0,14.0,10.0,58,0
24600209,BOM,-,,,,,73,0
24600210,PHW,-,,,,,79,0
24600211,BOS,-,,,,,49,0
24600208,CHS,-,28.0,28.0,27.0,26.0,109,0
24600213,PIT,-,21.0,16.0,11.0,10.0,58,0
24600214,PHW,-,,,,,58,0
24600212,WAS,-,,,,,68,0
24600215,HUS,-,,,,,46,0
24600217,WAS,-,21.0,12.0,21.0,13.0,67,0
24600216,DEF,-,,,,,74,0
24600218,WAS,-,15.0,14.0,22.0,18.0,69,0
24600220,PHW,-,,,,,75,0
24600219,CLR,-,17.0,21.0,22.0,25.0,85,0
24600223,PRO,-,,,,,64,0
24600222,WAS,-,,,,,72,0
24600221,PIT,-,22.0,20.0,22.0,18.0,82,0
24600226,PHW,-,14.0,9.0,,,61,0
24600225,BOM,-,,,,,54,0
24600227,HUS,-,13.0,22.0,25.0,24.0,84,0
24600230,WAS,-,23.0,17.0,19.0,11.0,70,0
24600228,CLR,-,,,,,90,0
24600229,PRO,-,,,,,82,0
24600234,DEF,-,,,,,58,0
24600232,PHW,-,17.0,19.0,18.0,17.0,71,0
24600233,BOM,-,30.0,18.0,17.0,15.0,80,0
24600231,CHS,-,17.0,25.0,27.0,15.0,84,0
24600235,PIT,-,11.0,20.0,17.0,15.0,63,0
24600236,CLR,-,,,,,84,0
24600237,BOM,-,24.0,15.0,15.0,3.0,57,0
24600240,DEF,-,,,,,51,0
24600239,WAS,-,7.0,20.0,22.0,20.0,69,0
24600238,PRO,-,,,,,69,0
24600242,PRO,-,,,,,74,0
24600243,PIT,-,,,,,66,0
24600241,DEF,-,13.0,19.0,28.0,16.0,76,0
24600245,BOM,-,,,,,65,0
24600244,HUS,-,17.0,18.0,13.0,19.0,67,0
24600246,PIT,-,,,,,49,0
24600248,PIT,-,12.0,17.0,20.0,12.0,61,0
24600247,PRO,-,,,,,85,0
24600249,CLR,-,,,,,83,0
24600252,PRO,-,,,,,67,0
24600253,DEF,-,,,,,61,0
24600250,NYK,-,,,,,68,0
24600251,PHW,-,14.0,27.0,12.0,13.0,66,0
24600254,PHW,-,,,,,69,0
24600255,BOS,-,,,,,59,0
24600257,PRO,-,16.0,14.0,15.0,15.0,60,0
24600259,PHW,-,,,,,75,0
24600261,PIT,-,11.0,11.0,14.0,17.0,53,0
24600260,WAS,-,21.0,24.0,16.0,23.0,84,0
24600258,DEF,-,,,,,68,0
24600262,NYK,-,,,,,73,0
24600263,HUS,-,15.0,20.0,21.0,21.0,77,0
24600264,BOS,-,,,,,69,0
24600267,NYK,-,,,,,63,0
24600265,PRO,-,,,,,80,0
24600266,BOS,-,,,,,52,0
24600268,BOM,-,22.0,18.0,20.0,26.0,86,0
24600269,PHW,-,,,,,69,0
24600272,HUS,-,,,,,66,0
24600271,CHS,-,17.0,14.0,22.0,16.0,69,0
24600273,CLR,-,,,,,82,0
24600274,WAS,-,,,,,99,0
24600275,PIT,-,20.0,9.0,17.0,14.0,60,0
24600276,PIT,-,16.0,14.0,16.0,25.0,71,0
24600278,PHW,-,,,,,59,0
24600277,BOS,-,,,,,74,0
24600279,WAS,-,23.0,13.0,26.0,24.0,86,0
24600280,CHS,-,21.0,36.0,21.0,29.0,107,0
24600283,DEF,-,13.0,20.0,14.0,14.0,61,0
24600282,HUS,-,,,,,65,0
24600281,WAS,-,18.0,15.0,24.0,17.0,74,0
24600284,CLR,-,,,,,77,0
24600285,PRO,-,,,,,87,0
24600288,BOM,-,23.0,16.0,14.0,18.0,71,0
24600286,PHW,-,,,,,77,0
24600290,HUS,-,,,,,57,0
24600289,CLR,-,,,,,89,0
24600292,WAS,-,20.0,22.0,17.0,27.0,86,0
24600293,PRO,-,,,,,71,0
24600294,PHW,-,,,,,81,0
24600291,BOM,-,,,,,74,0
24600295,CHS,-,7.0,24.0,17.0,22.0,70,0
24600296,WAS,-,18.0,21.0,18.0,21.0,78,0
24600297,PRO,-,,,,,60,0
24600298,CLR,-,,,,,69,0
24600299,DEF,-,,,,,61,0
24600302,CLR,-,,,,,67,0
24600300,PIT,-,,,,,70,0
24600301,BOM,-,,,,,68,0
24600305,PIT,-,6.0,22.0,11.0,15.0,54,0
24600304,CHS,-,12.0,15.0,18.0,12.0,57,0
24600307,CLR,-,15.0,20.0,21.0,17.0,73,0
24600306,DEF,-,,,,,75,0
24600308,NYK,-,12.0,14.0,5.0,18.0,49,0
24600309,CHS,-,18.0,25.0,29.0,27.0,99,0
24600310,PHW,-,,,,,103,0
24600313,CLR,-,13.0,12.0,18.0,24.0,67,0
24600312,NYK,-,12.0,12.0,21.0,23.0,68,0
24600311,DEF,-,22.0,20.0,21.0,22.0,85,0
24600314,DEF,-,,,,,63,0
24600315,HUS,-,12.0,7.0,8.0,13.0,40,0
24600316,CHS,-,,,,,80,0
24600317,PIT,-,18.0,9.0,13.0,11.0,51,0
24600318,BOS,-,,,,,64,0
24600319,NYK,-,6.0,11.0,,,91,0
24600320,CHS,-,16.0,18.0,28.0,15.0,77,0
24600321,BOM,-,,,,,67,0
24600322,BOS,-,17.0,17.0,16.0,24.0,74,0
24600323,PHW,-,,,,,80,0
24600324,HUS,-,13.0,13.0,27.0,18.0,71,0
24600328,BOS,-,12.0,12.0,17.0,14.0,55,0
24600327,HUS,-,,,,,63,0
24600326,WAS,-,14.0,25.0,21.0,19.0,79,0
24600325,PRO,-,,,,,83,0
24600329,PHW,-,18.0,19.0,24.0,15.0,76,0
24600330,CLR,-,,,,,66,0
24700001,WAS,-,14.0,17.0,13.0,19.0,63,0
24700003,CHS,-,,,,,80,0
24700004,WAS,-,11.0,16.0,20.0,18.0,65,0
24700005,PRO,-,,,,,64,0
24700002,BAL,-,20.0,26.0,18.0,21.0,85,0
24700006,BOS,-,,,,,74,0
24700007,PHW,-,16.0,24.0,18.0,22.0,80,0
24700008,WAS,-,17.0,23.0,16.0,13.0,69,0
24700009,NYK,-,,,,,73,0
24700010,BAL,-,,,,,67,0
24700011,NYK,-,,,,,87,0
24700012,BOS,-,,,,,50,0
24700013,PHW,-,16.0,18.0,17.0,16.0,67,0
24700014,NYK,-,,,,,63,0
24700017,BOS,-,20.0,15.0,16.0,16.0,67,0
24700016,PRO,-,7.0,16.0,26.0,18.0,67,0
24700018,NYK,-,14.0,12.0,12.0,18.0,56,0
24700019,BOS,-,,,,,73,0
24700023,WAS,-,,,,,62,0
24700021,CHS,-,20.0,18.0,15.0,19.0,72,0
24700022,PRO,-,,,,,62,0
24700020,NYK,-,,,,,78,0
24700024,BOS,-,,,,,75,0
24700026,NYK,-,,,,,63,0
24700025,BOM,-,15.0,16.0,10.0,23.0,64,0
24700027,BAL,-,19.0,15.0,21.0,21.0,76,0
24700028,NYK,-,16.0,25.0,20.0,20.0,81,0
24700030,PHW,-,22.0,16.0,15.0,18.0,71,0
24700029,WAS,-,27.0,14.0,14.0,28.0,83,0
24700031,WAS,-,,,,,78,0
24700032,BOM,-,,,,,67,0
24700033,NYK,-,,,,,62,0
24700035,BOM,-,,,,,86,0
24700036,CHS,-,,,,,81,0
24700037,BAL,-,18.0,20.0,15.0,20.0,73,0
24700038,BOM,-,17.0,12.0,19.0,17.0,65,0
24700039,PRO,-,,,,,69,0
24700041,BAL,-,,,,,65,0
24700040,NYK,-,,,,,114,0
24700044,BOS,-,,,,,75,0
24700046,PHW,-,14.0,19.0,19.0,17.0,69,0
24700047,CHS,-,,,,,75,0
24700048,PHW,-,,,,,67,0
24700049,PRO,-,,,,,72,0
24700050,BAL,-,16.0,14.0,18.0,18.0,66,0
24700051,PHW,-,,,,,74,0
24700052,PRO,-,,,,,66,0
24700053,WAS,-,14.0,23.0,9.0,20.0,66,0
24700055,BAL,-,14.0,19.0,24.0,17.0,74,0
24700054,NYK,-,19.0,16.0,36.0,28.0,99,0
24700056,WAS,-,23.0,18.0,15.0,14.0,70,0
24700057,BOM,-,,,,,70,0
24700060,WAS,-,10.0,16.0,11.0,15.0,52,0
24700058,PRO,-,21.0,21.0,19.0,13.0,74,0
24700059,BOS,-,,,,,58,0
24700061,BAL,-,,,,,83,0
24700063,NYK,-,,,,,58,0
24700062,CHS,-,,,,,83,0
24700066,BOM,-,,,,,56,0
24700064,PRO,-,,,,,75,0
24700065,CHS,-,8.0,15.0,22.0,25.0,70,0
24700067,PRO,-,8.0,8.0,21.0,24.0,61,0
24700069,NYK,-,,,,,70,0
24700070,PRO,-,,,,,63,0
24700068,PHW,-,30.0,14.0,13.0,13.0,70,0
24700071,BAL,-,,,,,63,0
24700073,PHW,-,,,,,64,0
24700072,CHS,-,,,,,85,0
24700074,BAL,-,15.0,19.0,12.0,14.0,60,0
24700075,BOS,-,,,,,48,0
24700076,WAS,-,,,,,60,0
24700078,NYK,-,,,,,70,0
24700077,PRO,-,,,,,76,0
24700079,BOS,-,13.0,13.0,12.0,22.0,60,0
24700080,PHW,-,14.0,18.0,19.0,15.0,66,0
24700081,PRO,-,,,,,64,0
24700082,CHS,-,,,,,79,0
24700083,BAL,-,15.0,20.0,17.0,26.0,78,0
24700084,WAS,-,17.0,16.0,18.0,22.0,73,0
24700085,PHW,-,,,,,60,0
24700087,BOS,-,,,,,57,0
24700090,BAL,-,,,,,54,0
24700088,CHS,-,,,,,99,0
24700091,CHS,-,8.0,26.0,15.0,18.0,67,0
24700092,BAL,-,,,,,98,0
24700093,BOM,-,15.0,10.0,15.0,15.0,55,0
24700094,PHW,-,16.0,24.0,20.0,12.0,72,0
24700095,CHS,-,,,,,61,0
24700097,NYK,-,10.0,17.0,20.0,15.0,62,0
24700096,BAL,-,18.0,15.0,25.0,19.0,77,0
24700099,BOS,-,,,,,48,0
24700098,PRO,-,13.0,17.0,15.0,16.0,61,0
24700100,NYK,-,,,,,57,0
24700101,PHW,-,,,,,82,0
