game_id,team_abbreviation,team_wins_losses,pts_qtr1,pts_qtr2,pts_qtr3,pts_qtr4,total_points
24600003,BOM,-,16,16,18,6,56
24600002,BOS,-,10,16,14,13,53
24600004,CHS,-,,,,,63
24600005,WAS,-,21,4,12,13,50
24600006,HUS,-,,,,,60
24600007,PIT,-,,,,,56
24600008,BOS,-,13,20,13,9,55
24600009,BOM,-,,,,,53
24600011,CHS,-,,,,,65
24600012,NYK,-,21,14,19,14,68
24600010,PIT,-,,,,,75
24600013,DEF,-,15,23,16,17,71
24600014,BOM,-,,,,,70
24600015,PIT,-,,,,,66
24600016,HUS,-,14,16,14,10,54
24600017,DEF,-,,,,,69
24600018,CLR,-,,,,,92
24600020,NYK,-,,,,,68
24600019,PRO,-,27,15,16,13,71
24600022,BOS,-,,,,,61
24600021,DEF,-,16,20,16,16,68
24600025,PRO,-,12,22,17,17,68
24600027,WAS,-,,,,,73
24600029,PRO,-,19,12,14,14,59
24600030,HUS,-,18,3,17,11,49
24600028,PIT,-,33,10,16,3,62
24600031,CHS,-,,,,,78
24600032,DEF,-,,,,,57
24600033,HUS,-,,,,,48
24600034,CLR,-,16,18,21,19,74
24600035,PHW,-,,,,,63
24600038,WAS,-,,,,,54
24600037,PIT,-,,,,,54
24600036,CHS,-,,,,,69
24600041,BOM,-,,,,,65
24600039,PHW,-,,,,,63
24600040,WAS,-,19,10,14,23,66
24600046,BOS,-,,,,,46
24600045,WAS,-,,,,,74
24600048,CHS,-,17,11,10,17,55
24600047,CLR,-,9,28,16,9,62
24600049,PRO,-,,,,,71
24600050,PIT,-,12,9,8,17,46
24600053,DEF,-,,,,,66
24600052,PHW,-,,,,,66
24600051,WAS,-,22,12,28,16,78
24600054,WAS,-,,,,,75
24600055,CLR,-,,,,,60
24600056,BOM,-,,,,,60
24600057,BOM,-,22,23,13,17,75
24600059,BOS,-,,,,,59
24600060,DEF,-,,,,,68
24600061,HUS,-,23,18,10,21,72
24600063,PHW,-,,,,,60
24600065,PIT,-,,,,,40
24600062,PRO,-,30,12,22,15,79
24600066,CHS,-,12,21,14,19,66
24600067,CLR,-,,,,,49
24600068,PIT,-,,,,,44
24600069,PRO,-,,,,,68
24600070,PRO,-,,,,,62
24600071,DEF,-,,,,,57
24600072,PIT,-,,,,,46
24600075,BOM,-,5,19,17,25,66
24600074,DEF,-,,,,,65
24600073,CHS,-,7,22,15,17,61
24600076,PHW,-,,,,,62
24600077,CLR,-,21,19,22,16,78
24600080,PRO,-,20,10,10,19,59
24600081,BOM,-,6,11,13,17,47
24600078,BOS,-,,,,,65
24600079,WAS,-,21,11,24,19,75
24600083,NYK,-,,,,,62
24600082,CLR,-,,,,,72
24600084,PIT,-,,,,,58
24600085,HUS,-,21,10,24,18,73
24600088,NYK,-,,,,,83
24600089,DEF,-,12,16,20,18,66
24600091,BOS,-,,,,,73
24600092,WAS,-,14,18,7,25,64
24600090,CHS,-,,,,,88
24600093,HUS,-,20,11,11,10,52
24600096,WAS,-,21,18,14,19,72
24600094,PRO,-,,,,,81
24600095,BOS,-,,,,,77
24600099,BOM,-,11,10,16,9,46
24600098,NYK,-,,,,,52
24600100,BOM,-,,,,,66
24600102,DEF,-,,,,,49
24600103,NYK,-,11,17,11,14,53
24600104,WAS,-,17,15,19,17,68
24600107,PHW,-,,,,,58
24600106,BOS,-,,,,,74
24600105,PRO,-,,,,,81
24600108,NYK,-,9,17,27,17,70
24600109,NYK,-,,,,,61
24600110,PHW,-,7,12,13,24,56
24600111,CHS,-,36,21,23,15,95
24600112,CLR,-,,,,,74
24600113,BOM,-,15,21,14,15,65
24600114,PIT,-,12,16,18,18,64
24600115,WAS,-,,,,,78
24600116,DEF,-,15,14,15,7,51
24600117,PHW,-,,,,,53
24600118,CHS,-,27,30,15,16,88
24600119,BOS,-,,,,,60
24600121,NYK,-,,,,,49
24600120,PRO,-,,,,,80
24600124,HUS,-,,,,,52
24600123,PHW,-,19,13,15,21,68
24600125,PIT,-,14,20,14,12,60
24600128,BOM,-,9,20,17,22,68
24600127,CHS,-,,,,,76
24600131,PIT,-,15,13,12,8,48
24600130,DEF,-,,,,,62
24600129,CHS,-,26,18,25,21,90
24600132,PHW,-,,,,,84
24600133,WAS,-,,,,,57
24600134,HUS,-,20,9,10,14,53
24600137,DEF,-,,,,,50
24600136,WAS,-,16,18,21,23,78
24600135,PRO,-,,,,,78
24600138,BOM,-,17,17,12,11,57
24600141,PIT,-,10,15,13,11,49
24600140,BOS,-,,,,,53
24600139,DEF,-,14,16,23,23,61
24600143,WAS,-,26,13,28,10,77
24600144,PIT,-,11,17,25,14,67
24600145,HUS,-,,,,,76
24600142,DEF,-,,,,,80
24600148,PHW,-,,,,,74
24600147,PRO,-,,,,,91
24600146,CHS,-,,,,,81
24600149,BOS,-,,,,,66
24600150,PRO,-,,,,,72
24600151,WAS,-,20,21,18,22,81
24600152,DEF,-,,,,,58
24600153,PHW,-,12,18,17,25,72
24600154,BOM,-,11,21,20,20,72
24600155,NYK,-,15,15,12,11,53
24600157,HUS,-,14,10,17,33,74
24600156,PRO,-,,,,,78
24600158,NYK,-,,,,,63
24600159,CHS,-,,,,,59
24600160,PIT,-,17,21,11,16,65
24600161,CHS,-,,,,,84
24600163,BOS,-,,,,,47
24600164,DEF,-,16,17,22,19,74
24600165,CHS,-,22,19,12,19,72
24600166,BOS,-,,,,,58
24600168,BOM,-,15,12,26,16,69
24600167,NYK,-,16,19,19,18,72
24600170,CHS,-,,,,,81
24600169,DEF,-,10,17,10,20,57
24600171,HUS,-,16,20,17,19,72
24600172,PHW,-,,,,,59
24600175,DEF,-,,,,,47
24600174,WAS,-,25,11,6,15,57
24600173,NYK,-,,,,,74
24600178,PIT,-,,,,,43
24600177,PRO,-,25,18,17,16,76
24600179,PRO,-,22,28,27,19,96
24600182,NYK,-,,,,,46
24600180,PIT,-,13,16,17,25,71
24600181,DEF,-,,,,,55
24600184,PHW,-,12,15,14,16,57
24600183,BOM,-,14,19,16,22,71
24600185,HUS,-,16,23,20,23,82
24600186,PIT,-,19,21,16,15,71
24600187,BOS,-,,,,,57
24600188,HUS,-,12,12,24,22,70
24600191,WAS,-,17,17,18,17,69
24600189,DEF,-,,,,,73
24600190,PIT,-,,,,,60
24600194,PIT,-,,,,,51
24600192,PRO,-,21,23,22,16,82
24600193,PHW,-,,,,,65
24600195,HUS,-,19,23,17,24,83
24600197,PHW,-,,,,,71
